time,message,src,dst
2025-12-08 20:16:52,ANOMALY DETECTED (Scapy) - Unusual network behavior,172.168.100.4,172.168.100.2
2025-12-08 20:16:52,ANOMALY DETECTED (Scapy) - Unusual network behavior,172.168.100.2,172.168.100.4
2025-12-08 20:16:58,[SCAPY] SYN Scan → port 8080,172.168.100.3,172.168.100.4
2025-12-08 20:16:59,[SCAPY] SYN Scan → port 443,172.168.100.3,172.168.100.4
2025-12-08 20:16:59,[SCAPY] SYN Scan → port 3306,172.168.100.3,172.168.100.4
2025-12-08 20:16:59,[SCAPY] SYN Scan → port 21,172.168.100.3,172.168.100.4
2025-12-08 20:17:00,[SCAPY] SYN Scan → port 25,172.168.100.3,172.168.100.4
2025-12-08 20:17:00,[SCAPY] SYN Scan → port 80,172.168.100.3,172.168.100.4
2025-12-08 20:17:00,[SCAPY] SYN Scan → port 22,172.168.100.3,172.168.100.4
2025-12-08 20:17:00,[SCAPY] SYN Scan → port 23,172.168.100.3,172.168.100.4
2025-12-08 20:17:00,[SCAPY] SYN Scan → port 445,172.168.100.3,172.168.100.4
2025-12-08 20:17:00,[SCAPY] SYN Scan → port 3389,172.168.100.3,172.168.100.4
2025-12-08 20:17:05,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
2025-12-08 20:17:05,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
2025-12-08 20:17:05,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
2025-12-08 20:17:05,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
2025-12-08 20:17:05,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
2025-12-08 20:17:05,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
2025-12-08 20:17:05,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
2025-12-08 20:17:06,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
2025-12-08 20:17:06,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
2025-12-08 20:17:06,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
2025-12-08 20:17:06,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
2025-12-08 20:17:06,[SCAPY] STEALTH SCAN (flags: 0x29),172.168.100.3,172.168.100.4
